Wall time,Step,Value
1557750941.414606,0,0.07628676295280457
1557750977.4726186,1,0.06617647409439087
1557751013.1303136,2,0.11397058516740799
1557751049.5771935,3,0.1351102888584137
1557751085.6184475,4,0.11672794073820114
1557751122.2831845,5,0.18014705181121826
1557751158.5395982,6,0.171875
1557751194.759205,7,0.20588235557079315
1557751231.4901612,8,0.2141544073820114
1557751267.991725,9,0.23253676295280457
1557751303.4421954,10,0.2288602888584137
1557751338.942732,11,0.25183823704719543
1557751374.336015,12,0.25275734066963196
1557751411.5229332,13,0.26838234066963196
1557751447.3032947,14,0.2858455777168274
1557751484.052551,15,0.30422794818878174
1557751522.1084285,16,0.3327205777168274
1557751558.3687096,17,0.3216911852359772
1557751594.3583524,18,0.3079044222831726
1557751630.0201886,19,0.36764705181121826
1557751665.5009415,20,0.3345588147640228
1557751701.1075993,21,0.36121323704719543
1557751736.8289473,22,0.3639705777168274
1557751772.5283916,23,0.36305147409439087
1557751808.2154195,24,0.37316176295280457
1557751843.8113122,25,0.3915441036224365
1557751879.4775922,26,0.3952205777168274
1557751915.270086,27,0.3970588147640228
1557751950.6834934,28,0.4126838147640228
1557751986.124508,29,0.3915441036224365
1557752021.4623694,30,0.42463234066963196
1557752056.9322257,31,0.4439338147640228
1557752093.101302,32,0.4108455777168274
1557752128.499319,33,0.46139705181121826
1557752163.7515595,34,0.44944852590560913
1557752199.0296218,35,0.46507352590560913
1557752235.0349302,36,0.4779411852359772
1557752270.8876688,37,0.4586397111415863
1557752306.5535944,38,0.48805147409439087
1557752342.9962974,39,0.5091911554336548
1557752379.2586071,40,0.5
1557752415.641737,41,0.517463207244873
1557752451.4805033,42,0.5238970518112183
1557752487.6220822,43,0.49816176295280457
1557752523.7458825,44,0.5266544222831726
1557752559.3067129,45,0.5551470518112183
1557752594.8555613,46,0.5441176295280457
1557752630.3630908,47,0.5459558963775635
1557752666.487554,48,0.5303308963775635
1557752702.3179016,49,0.579963207244873
