Wall time,Step,Value
1557750941.4145615,0,7.240660190582275
1557750977.472569,1,7.320383071899414
1557751013.130302,2,6.190399169921875
1557751049.5771465,3,5.15837287902832
1557751085.6183987,4,4.723154067993164
1557751122.2831364,5,4.06776762008667
1557751158.5395477,6,3.9005086421966553
1557751194.7591581,7,3.7032315731048584
1557751231.490135,8,3.546520471572876
1557751267.9916751,9,3.4999680519104004
1557751303.4421477,10,3.414858102798462
1557751338.9426847,11,3.306307792663574
1557751374.3359663,12,3.3126108646392822
1557751411.5229185,13,3.275738000869751
1557751447.3032453,14,3.183133602142334
1557751484.0525026,15,3.186023235321045
1557751522.1083827,16,3.147894859313965
1557751558.3686802,17,3.0539603233337402
1557751594.3583033,18,3.14719557762146
1557751630.020137,19,3.035275936126709
1557751665.5008943,20,3.030250310897827
1557751701.1075516,21,3.0092854499816895
1557751736.828897,22,2.988583564758301
1557751772.528342,23,3.000420331954956
1557751808.215363,24,2.929797887802124
1557751843.811257,25,2.9072704315185547
1557751879.477542,26,2.878077745437622
1557751915.2700326,27,2.892263412475586
1557751950.6834416,28,2.8564321994781494
1557751986.1244574,29,2.8729419708251953
1557752021.4623203,30,2.8342103958129883
1557752056.9321773,31,2.777686357498169
1557752093.101252,32,2.812967538833618
1557752128.4992669,33,2.698474407196045
1557752163.751509,34,2.765413999557495
1557752199.0295742,35,2.704864978790283
1557752235.0348506,36,2.6728157997131348
1557752270.8876202,37,2.658573865890503
1557752306.5535443,38,2.6720592975616455
1557752342.9962122,39,2.544522285461426
1557752379.2585552,40,2.6217119693756104
1557752415.641637,41,2.5743021965026855
1557752451.4804513,42,2.5256505012512207
1557752487.6219833,43,2.5695645809173584
1557752523.7458336,44,2.510843276977539
1557752559.3066647,45,2.4599366188049316
1557752594.8554776,46,2.4687411785125732
1557752630.3630402,47,2.458983898162842
1557752666.4875288,48,2.490600824356079
1557752702.3178527,49,2.3972580432891846
