Wall time,Step,Value
1557752861.6048472,0,5.339666366577148
1557752897.7602139,1,5.185292720794678
1557752934.0126123,2,5.321468830108643
1557752970.2932854,3,5.309328556060791
1557753006.5168512,4,4.6497321128845215
1557753042.9923978,5,4.556686878204346
1557753078.4205065,6,4.281606674194336
1557753113.996656,7,4.2208404541015625
1557753149.3565388,8,3.953251600265503
1557753185.8231437,9,3.7584493160247803
1557753222.1467407,10,3.4559757709503174
1557753257.6168263,11,3.416487693786621
1557753293.110909,12,3.328396797180176
1557753329.0962694,13,3.196378707885742
1557753365.1685636,14,3.120271682739258
1557753400.9564767,15,3.053884267807007
1557753437.405622,16,2.9336657524108887
1557753473.5206614,17,2.9173660278320312
1557753510.0026639,18,2.8055419921875
1557753547.111535,19,2.734489679336548
1557753583.3178072,20,2.6824769973754883
1557753619.1051202,21,2.6699092388153076
1557753654.8026352,22,2.697672128677368
1557753690.6043003,23,2.633077383041382
1557753726.3046875,24,2.5831639766693115
1557753761.8563044,25,2.533550977706909
1557753797.3171623,26,2.478132724761963
1557753832.8122377,27,2.4911739826202393
1557753868.3226867,28,2.4351282119750977
1557753903.8293629,29,2.390603542327881
1557753939.3769844,30,2.408862829208374
1557753974.871982,31,2.358933687210083
1557754010.3213334,32,2.355358362197876
1557754045.7691169,33,2.3855671882629395
1557754080.8826232,34,2.2247607707977295
1557754116.0034268,35,2.3043177127838135
1557754151.2495449,36,2.235537528991699
1557754186.4758713,37,2.2280867099761963
1557754221.7181118,38,2.242412805557251
1557754256.9322758,39,2.1514151096343994
1557754292.2078698,40,2.121457099914551
1557754327.4585414,41,2.169475793838501
1557754362.7442188,42,2.0752291679382324
1557754397.981417,43,2.104630470275879
1557754433.272796,44,2.071279764175415
1557754468.5286794,45,2.0755109786987305
1557754503.7586694,46,2.0196964740753174
1557754538.945243,47,2.001983642578125
1557754574.2227871,48,2.0265278816223145
1557754609.5015316,49,1.9711195230484009
