Wall time,Step,Value
1557740766.1548219,0,2.1395211219787598
1557740836.4178352,0,2.1029226779937744
1557740868.1649218,1,1.6711063385009766
1557740900.4764688,2,1.4658509492874146
1557740932.8753636,3,1.6383490562438965
1557740964.6679943,4,1.426263689994812
1557740997.1604826,5,1.3120169639587402
1557741029.5106761,6,1.4294564723968506
1557741061.730599,7,1.1547894477844238
1557741094.2581186,8,0.9174602031707764
1557741126.4784896,9,0.7874037623405457
1557741158.4262848,10,0.6904131174087524
1557741190.363515,11,0.6034544706344604
1557741222.316548,12,0.5396234393119812
1557741254.0944335,13,0.4577808082103729
1557741285.910344,14,0.3949388861656189
1557741317.7589922,15,0.33066484332084656
1557741349.6178892,16,0.2820895314216614
1557741382.3553097,17,0.2408480942249298
1557741414.7301595,18,0.20966243743896484
1557741447.1299367,19,0.20844167470932007
1557741479.0413182,20,0.17033466696739197
1557741510.8031363,21,0.15681664645671844
1557741543.0942607,22,0.16605845093727112
1557741575.130975,23,0.13457567989826202
1557741606.929938,24,0.13097800314426422
1557741638.7207222,25,0.1157449409365654
1557741670.6988797,26,0.11477012187242508
1557741702.4765751,27,0.1127254068851471
1557741734.284832,28,0.10917902737855911
1557741766.0785766,29,0.10156286507844925
1557741797.8977282,30,0.1016855537891388
1557741829.9626844,31,0.09953312575817108
1557741862.17514,32,0.09322038292884827
1557741893.6805637,33,0.09441004693508148
1557741925.2187858,34,0.09548849612474442
1557741956.7935517,35,0.0906301885843277
1557741988.37228,36,0.08803045004606247
1557742019.9494803,37,0.09026394784450531
1557742051.434282,38,0.08950954675674438
1557742082.9860792,39,0.08935928344726562
1557742115.1178555,40,0.08130978792905807
1557742147.4479885,41,0.08128920197486877
1557742179.214589,42,0.08534878492355347
1557742210.9925258,43,0.09015108644962311
1557742243.1260622,44,0.08493314683437347
1557742274.6936307,45,0.08564738929271698
1557742306.1904871,46,0.08078064024448395
1557742338.042897,47,0.07842230796813965
1557742369.8350663,48,0.07872898876667023
1557742401.6760669,49,0.07830356061458588
