Wall time,Step,Value
1557740766.154832,0,0.29872000217437744
1557740836.4178455,0,0.29085999727249146
1557740868.1649363,1,0.4467200040817261
1557740900.4765167,2,0.5186799764633179
1557740932.8754137,3,0.4792400002479553
1557740964.6680443,4,0.5407800078392029
1557740997.160532,5,0.5855799913406372
1557741029.5107217,6,0.5544999837875366
1557741061.7306168,7,0.6263599991798401
1557741094.2581863,8,0.7059599757194519
1557741126.478505,9,0.7523800134658813
1557741158.4263334,10,0.7862600088119507
1557741190.3635602,11,0.8170999884605408
1557741222.3165588,12,0.8384600281715393
1557741254.094479,13,0.867139995098114
1557741285.9103966,14,0.8873199820518494
1557741317.7590396,15,0.910040020942688
1557741349.617934,16,0.9271399974822998
1557741382.355365,17,0.9405800104141235
1557741414.7302067,18,0.9509999752044678
1557741447.1299837,19,0.9531199932098389
1557741479.041368,20,0.9652600288391113
1557741510.8031826,21,0.969760000705719
1557741543.0943084,22,0.9674199819564819
1557741575.1310208,23,0.9782199859619141
1557741606.9299834,24,0.9800400137901306
1557741638.7207766,25,0.9846799969673157
1557741670.698935,26,0.9847800135612488
1557741702.4766216,27,0.9861599802970886
1557741734.284878,28,0.986840009689331
1557741766.0786262,29,0.9897599816322327
1557741797.897775,30,0.9896799921989441
1557741829.9627311,31,0.9903799891471863
1557741862.1751964,32,0.9920200109481812
1557741893.6806118,33,0.9916800260543823
1557741925.2188318,34,0.9919599890708923
1557741956.793607,35,0.9930599927902222
1557741988.3723264,36,0.9941200017929077
1557742019.9495337,37,0.9940999746322632
1557742051.4343305,38,0.9937599897384644
1557742082.986127,39,0.9943600296974182
1557742115.1178725,40,0.9965199828147888
1557742147.4480364,41,0.9963600039482117
1557742179.2146394,42,0.9952999949455261
1557742210.9925685,43,0.9935600161552429
1557742243.126109,44,0.9952399730682373
1557742274.693677,45,0.9955999851226807
1557742306.190535,46,0.9967399835586548
1557742338.0429404,47,0.9976000189781189
1557742369.8351119,48,0.9973599910736084
1557742401.6761136,49,0.9973999857902527
